Date,Day,full,schedule,classDay,Week,MP,Note
5/8/2023,Monday,Y,R,146,33,4,
5/9/2023,Tuesday,Y,R,147,33,4,
5/10/2023,Wednesday,Y,R,148,33,4,
5/11/2023,Thursday,Y,R,149,33,4,
5/12/2023,Friday,Y,R,150,33,4,
5/15/2023,Monday,Y,R,151,34,4,
5/16/2023,Tuesday,Y,R,152,34,4,
5/17/2023,Wednesday,Y,R,153,34,4,
5/18/2023,Thursday,Y,R,154,34,4,
5/19/2023,Friday,Y,R,155,34,4,
5/22/2023,Monday,Y,R,156,35,4,
5/23/2023,Tuesday,Y,R,157,35,4,
5/24/2023,Wednesday,Y,R,158,35,4,
5/25/2023,Thursday,Y,R,159,35,4,
5/26/2023,Friday,Y,R,160,35,4,
5/29/2023,Monday,X,X, ,36,4,Memorial Day
5/30/2023,Tuesday,Y,R,161,36,4,
5/31/2023,Wednesday,Y,R,162,36,4,
6/1/2023,Thursday,Y,R,163,36,4,
6/2/2023,Friday,Y,R,164,36,4,
6/5/2023,Monday,Y,R,165,37,4,
6/6/2023,Tuesday,H,H,166,37,4,Primary day ED
6/7/2023,Wednesday,Y,R,167,37,4,
6/8/2023,Thursday,Y,R,168,37,4,
6/9/2023,Friday,Y,R,169,37,4,
6/12/2023,Monday,Y,R,170,38,4,
6/13/2023,Tuesday,Y,R,171,38,4,
6/14/2023,Wednesday,Y,R,172,38,4,
6/15/2023,Thursday,Y,R,173,38,4,
6/16/2023,Friday,Y,R,174,38,4,
6/19/2023,Monday,H,SC, ,39,4,ED students
6/20/2023,Tuesday,H,SC, ,39,4,ED students
6/21/2023,Wednesday,H,SC, ,39,4,ED students
6/22/2023,Thursday,H,SC, ,39,4,ED students
6/23/2023,Friday,H,SC, ,39,4,last day students
,,,,,,,
,,,,,,,
,,,,174,,,contact days
